REGION,SEX_C2,AGE_C7,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X99
6,Female,2,332.00,46.00,33.00,42.00,171.00,141.00,267.00,333.00,1506.00,790.00,1515.00,880.00,12805.00,982.00,2769.00,2931.00,2859.00,5384.00,240.00,691.00
6,Female,3,614.00,107.00,166.00,251.00,587.00,612.00,1044.00,998.00,4832.00,1414.00,3019.00,1539.00,25772.00,1078.00,3524.00,4000.00,3372.00,8454.00,982.00,1021.00
6,Female,4,840.00,269.00,378.00,638.00,1290.00,1456.00,2800.00,2218.00,8796.00,2031.00,3899.00,2010.00,23216.00,702.00,3134.00,2906.00,2009.00,4631.00,590.00,1149.00
6,Female,5,1176.00,528.00,860.00,1755.00,2586.00,2595.00,4971.00,3182.00,10041.00,2304.00,3698.00,2104.00,17087.00,503.00,1880.00,1559.00,1347.00,2550.00,343.00,1409.00
6,Female,6,1645.00,745.00,1266.00,2614.00,3137.00,2354.00,5748.00,1481.00,4903.00,1433.00,2825.00,1345.00,7328.00,291.00,851.00,707.00,967.00,1916.00,200.00,1209.00
6,Female,7,4641.00,1369.00,2207.00,4163.00,4054.00,2060.00,6933.00,788.00,2397.00,1165.00,1748.00,656.00,3782.00,88.00,325.00,348.00,489.00,910.00,61.00,1340.00
7,Male,1,438.00,64.00,87.00,83.00,238.00,205.00,321.00,368.00,2440.00,937.00,1926.00,904.00,15371.00,2370.00,3800.00,2895.00,1870.00,1239.00,18.00,1173.00
7,Male,2,512.00,69.00,106.00,116.00,335.00,258.00,439.00,415.00,3191.00,1040.00,2144.00,989.00,15472.00,809.00,1838.00,2312.00,2293.00,5278.00,271.00,998.00
7,Male,3,987.00,261.00,324.00,550.00,987.00,848.00,1273.00,999.00,8712.00,1877.00,3891.00,1725.00,25526.00,602.00,2236.00,3001.00,2766.00,7452.00,1168.00,1374.00
7,Male,4,1185.00,474.00,750.00,1293.00,2098.00,1850.00,3154.00,2404.00,14458.00,2185.00,3970.00,1907.00,20898.00,342.00,1450.00,2163.00,1694.00,4483.00,966.00,1446.00
